episode,total_reward
941,-34.18628650432178
942,-31.621595617973558
943,-22.943261278697435
944,-19.91503639275462
945,-16.974920887409816
946,-28.055163872198513
947,-27.361126157489473
948,-31.319336717872744
949,-16.832281413854933
950,-14.166338220819618
951,-19.982715453212368
952,-20.69278329106963
953,-20.06273709582168
954,-29.218433982825886
955,-25.673020342528616
956,-23.16856279775898
957,-33.38355489305719
958,-15.210763806804101
959,-15.91199796404512
960,-27.512678710869245
961,-22.801976781912618
962,-26.112348287984183
963,-14.8596113902473
964,-29.45277050235581
965,-34.78062142645111
966,-17.59291059913199
967,-24.1921601358377
968,-14.520597841656908
969,-33.50522044553504
970,-26.307044792050505
971,-26.356063024978944
972,-18.294448257343262
973,-15.226464770014953
974,-16.683583823955043
975,-30.418730277453044
976,-21.405556772146596
977,-23.785420974236928
978,-16.47002723089543
979,-19.67953579111012
980,-30.886529506765843
981,-29.466908142826924
982,-31.15898898395157
983,-22.865321051484838
984,-14.010218592279772
985,-33.27750894301501
986,-24.807555247636042
987,-34.278775466492256
988,-19.056179354853285
989,-18.47785504112253
990,-29.13213257631414
991,-20.543984060695607
992,-31.774149262787866
993,-13.123023230335988
994,-20.512796690101943
995,-34.00306616861545
996,-21.979861130310383
997,-25.29003478410221
998,-13.524888061128465
999,-21.283113337619685
1000,-15.492513571324709
1001,-25.29366730270072
1002,-21.916199828099337
1003,-23.619730292609646
1004,-17.29871649259563
1005,-32.01132861907145
1006,-18.740195404028906
1007,-17.054608719638
1008,-32.83168088813046
1009,-21.759836944250033
1010,-18.965983172323348
1011,-25.644151851222546
1012,-33.94880741707643
1013,-19.091472050270628
1014,-34.785769697788396
1015,-34.25054772896435
1016,-12.855318411751306
1017,-13.582764757625736
1018,-29.016755798465148
1019,-19.980220724578736
1020,-18.82513676518524
1021,-25.708957342788747
1022,-12.347203541265458
1023,-25.360866467989474
1024,-23.769145540359304
1025,-16.972971280638433
1026,-26.6108978753956
1027,-31.54923843293797
1028,-21.96620286969994
1029,-32.57323445626787
1030,-19.866671454335574
1031,-27.41394108301701
1032,-34.56306044198526
1033,-17.627849898530815
1034,-15.103837083596261
1035,-17.277560935923105
1036,-24.501685880673293
1037,-21.229095310798094
1038,-26.801451689560814
1039,-29.92009913557024
1040,-28.19562443655428
1041,-22.98185905630184
1042,-31.44005386362659
1043,-25.396671877279324
1044,-28.347170565571822
1045,-22.311312887869864
1046,-17.58696383366532
1047,-35.207535338895305
1048,-16.945908079494505
1049,-14.420870626006442
1050,-31.122316062208906
1051,-29.48176344654855
1052,-17.47203691191912
1053,-35.500108491331964
1054,-29.011496913717522
1055,-18.512736694004015
1056,-23.644629415155613
1057,-25.510621047555432
1058,-24.838058693084893
1059,-27.158663682543903
1060,-19.60578260915569
1061,-34.71206292621632
1062,-33.0331429367946
1063,-17.196392657759336
1064,-21.12333707303254
1065,-21.628554568851982
1066,-25.43082019412314
1067,-22.285327447747726
1068,-34.11351216876039
1069,-18.744186361162047
1070,-26.65521166553812
1071,-26.04379989540638
1072,-15.409817579754705
1073,-28.64607628805368
1074,-27.700755969722238
1075,-23.412461119243325
1076,-17.01255365646318
1077,-28.207837159880093
1078,-17.579026578401894
1079,-14.436276874907325
1080,-24.56246878998607
1081,-31.513635834447744
1082,-30.606185832108586
1083,-31.30216417378745
1084,-26.488061455792263
1085,-26.095247954635823
1086,-24.40532061789269
1087,-15.723194160282208
1088,-14.308914584145828
1089,-30.762619215006996
1090,-12.573350197434847
1091,-19.684738756484794
1092,-28.43104247369827
1093,-35.61605559061287
1094,-18.987543779529993
1095,-28.344799753310916
1096,-31.91861087806948
1097,-25.804202004324857
1098,-16.543346825494176
1099,-23.339904459953413
1100,-13.289673488138387
1101,-25.34044314782293
1102,-17.348024423154165
1103,-14.41619562578806
1104,-19.634875864845924
1105,-23.91192212772974
1106,-30.655233527749342
1107,-19.961665272307226
1108,-32.060828188928156
1109,-20.270443399264742
1110,-18.480971002693387
1111,-31.509922770187075
1112,-20.176776304304735
1113,-24.361207056689807
1114,-17.883071401159867
1115,-22.645886177034917
1116,-28.30106468790649
1117,-29.69050009176048
1118,-25.142380014815586
1119,-22.083252300436136
1120,-21.079075507851595
1121,-29.743551581347987
1122,-32.15822288207599
1123,-22.015290523396338
1124,-30.821931500484848
1125,-22.39507151074301
1126,-22.519554708797678
1127,-20.83694233814066
1128,-21.52173878728341
1129,-14.66133702432602
1130,-34.536632494838166
1131,-20.988096541902905
1132,-27.92461504586121
1133,-25.8148071368611
1134,-19.746757713113187
1135,-33.09792793404475
1136,-24.39055168038079
1137,-24.953386381477316
1138,-15.558173302738998
1139,-24.9912962787569
1140,-13.812700016631462
1141,-22.38789485177366
1142,-20.36498940379077
1143,-23.060615412094847
1144,-17.78488474233311
1145,-23.828558107230663
1146,-18.495650440796695
1147,-16.461802365150366
1148,-27.479759356104307
1149,-13.865875489227413
1150,-27.834861750644667
1151,-13.415922007952716
1152,-33.426243093156266
1153,-14.198648441816559
1154,-13.694470099516987
1155,-15.027588428331384
1156,-30.243440788905254
1157,-22.871188303110806
1158,-15.344941409640004
1159,-25.084227756078146
1160,-28.383849400057265
1161,-18.641215550340263
1162,-26.321277644700878
1163,-20.121382794738807
1164,-23.547117174693934
1165,-31.909406814926513
1166,-30.390355772432134
1167,-15.487427901492385
1168,-28.515208746105394
1169,-24.81467428071623
1170,-28.335637137030332
1171,-16.416524844679785
1172,-34.0408798417946
1173,-33.71434185961808
1174,-20.90304911380982
1175,-13.565710917398173
1176,-20.34609304832953
1177,-18.94858814400523
1178,-33.10928744891602
1179,-28.133664845487758
1180,-20.79537700401896
1181,-21.17247837297571
1182,-21.985824961640006
1183,-21.749687268965815
1184,-33.651972977680785
1185,-22.823564720876533
1186,-25.697107787065256
1187,-26.752227760193364
1188,-33.08074091939585
1189,-24.2149432485906
1190,-22.958694842710823
1191,-18.30566035406015
1192,-15.26934124564323
1193,-26.821552534859084
1194,-22.002804615671273
1195,-33.11323422998692
1196,-14.660088244919006
1197,-30.001730958532757
1198,-24.699335916274475
1199,-19.978340159549244
1200,-32.56464733370638
1201,-17.6339671141269
1202,-13.686737586695571
1203,-20.791975602248954
1204,-16.98187689732148
1205,-15.424157695287363
1206,-34.67003241225225
1207,-27.557630099834483
1208,-29.844636627946475
1209,-23.171807414654843
1210,-26.694313261860803
1211,-12.849551034922353
1212,-24.187023097545882
1213,-33.95565931851292
1214,-17.50056233812938
1215,-32.71473340322246
1216,-20.500985618042876
1217,-19.148240122566428
1218,-31.282914732737222
1219,-33.1672556980172
1220,-14.974723201120444
1221,-23.031660778156347
1222,-19.244466333991923
1223,-24.664323648157442
1224,-32.749444027208405
1225,-22.28100987193087
1226,-16.547850755038773
1227,-32.873027494042255
1228,-31.760937011300342
1229,-31.55938852254889
1230,-21.311904249554953
1231,-33.61959577736984
1232,-12.35086186226269
1233,-17.36897648238148
1234,-33.22728824993117
1235,-22.646954745482297
1236,-28.629239963144517
1237,-26.597401150436013
1238,-17.38723917002779
1239,-25.450259992447492
1240,-22.93808045824585
1241,-14.757358124233821
1242,-27.357343231774166
1243,-13.934935743556633
1244,-16.737398167369886
1245,-23.418696322875533
